date,home_team,away_team,winner,first_shooter
10/13/2019,Gambia,Djibouti,Gambia,
10/8/2020,Bosnia and Herzegovina,Northern Ireland,Northern Ireland,Bosnia and Herzegovina
10/8/2020,Slovakia,Republic of Ireland,Slovakia,Slovakia
10/8/2020,Scotland,Israel,Scotland,Scotland
11/12/2020,Serbia,Scotland,Scotland,Scotland
6/3/2021,Mexico,Costa Rica,Mexico,Mexico
6/6/2021,Honduras,Costa Rica,Honduras,Costa Rica
6/28/2021,France,Switzerland,Switzerland,Switzerland
7/2/2021,Peru,Paraguay,Peru,Paraguay
7/2/2021,Switzerland,Spain,Spain,Spain
